     x      x      x      x
 10240      0  -6144      0
 10240      0  -6144      0
 10240      0  -1449   1448
 10240      0  -1449   1448
 10240      0      0  -2048
 10240      0      0  -2048
 10240      0  -4345  -4345
 10240      0  -4345  -4345
 10240      0      0      0
 10240      0      0      0
 10240      0      0      0
 10240      0      0      0
 -3072  -1024  -3072   1023
 -3072  -1024  -3072   1023
 -2897  -1449   2896  -1448
 -2897  -1449   2896  -1448
 10240      0      0      0
 10240      0      0      0
     0      0      0      0
     0      0      0      0
 -2985  -1237    -88    212
 -2985  -1237    -88    212
   -88   -213  -2984   1235
   -88   -213  -2984   1235
  5120      0   5119      0
  5120      0   5119      0
     0      0      0      0
     0      0      0      0
 -1537   -513  -1449   -725
 -1537   -513  -1449   -725
 -1536    511   1447   -724
